bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
92.08%,92.74%,86.55%,86.09%,92.23%,94.02%,94.25%,92.61%,82.77%,84.17%,95.99%
98.35%,95.97%,94.74%,95.36%,98.90%,98.50%,97.50%,97.97%,97.64%,96.90%,99.28%
