truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
64.29%,51.72%,72.66%,68.28%,65.80%,58.70%,58.72%,68.10%,50.51%,69.63%,75.00%
88.90%,82.76%,91.37%,87.59%,89.41%,89.07%,89.53%,90.49%,82.03%,92.94%,89.29%
