horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
13.33%,20.95%,21.43%,50.00%,43.01%,33.70%,20.86%,33.98%,23.65%
26.67%,49.52%,35.71%,66.67%,78.49%,59.78%,40.77%,54.37%,53.38%
