deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
21.57%,28.21%,100.00%,13.64%,30.00%,27.37%,33.64%,32.04%,16.90%,33.61%
70.59%,66.67%,100.00%,72.73%,50.00%,72.63%,82.71%,72.82%,64.83%,70.49%
