truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
78.00%,37.04%,60.00%,55.56%,54.84%,53.49%,31.82%,41.30%
98.00%,81.48%,80.00%,100.00%,83.87%,86.05%,84.09%,76.09%
