cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
70.83%,85.71%,63.64%,78.26%,77.24%,79.56%,80.42%,74.80%,64.52%
90.28%,100.00%,100.00%,86.96%,93.50%,94.16%,90.21%,92.91%,83.87%
