car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
54.36%,47.57%,46.74%,41.03%,55.60%,53.91%,48.24%,44.08%
88.80%,86.41%,79.35%,79.49%,91.51%,85.22%,80.78%,78.20%
