ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
64.78%,54.13%,57.14%,0.00%,54.43%,39.05%,20.00%,35.21%,22.99%,41.75%,35.71%
91.19%,91.74%,85.71%,100.00%,91.14%,87.62%,80.00%,91.55%,88.24%,88.35%,90.00%
