bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
82.22%,74.42%,100.00%,100.00%,80.00%,85.25%,80.77%,93.75%
93.33%,90.70%,100.00%,100.00%,87.50%,97.81%,93.85%,96.59%
