plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
71.09%,60.71%,78.95%,50.00%,38.76%,82.40%,49.09%,55.65%,52.73%,34.12%
96.09%,92.86%,94.74%,100.00%,79.21%,96.80%,80.00%,83.68%,93.64%,63.85%
