horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
21.67%,29.52%,21.43%,50.00%,44.09%,32.61%,17.27%,37.38%,26.01%
36.67%,46.67%,28.57%,72.22%,70.97%,50.00%,37.17%,49.51%,46.62%
