cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
76.39%,57.14%,45.45%,60.87%,63.41%,67.88%,69.23%,63.78%,63.44%
90.28%,85.71%,90.91%,82.61%,86.18%,90.51%,85.31%,86.61%,80.65%
