ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
61.64%,55.05%,57.14%,66.67%,46.84%,30.48%,40.00%,46.48%,22.99%,46.60%,49.29%
91.19%,90.83%,100.00%,100.00%,82.28%,78.10%,80.00%,87.32%,81.28%,89.32%,94.29%
