car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
54.36%,36.89%,41.30%,30.77%,54.05%,51.30%,37.65%,37.91%
85.89%,73.79%,77.17%,92.31%,85.33%,83.48%,80.39%,76.30%
