frog_weather_foggy,frog_weather_raining,frog_weather_snowing,frog_locations_indoors,frog_locations_street,frog_locations_snow
100.00%,100.00%,N/A (total is zero),76.92%,79.31%,71.43%
100.00%,100.00%,,87.18%,82.76%,71.43%
