plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
71.88%,58.93%,94.74%,50.00%,39.33%,72.00%,58.18%,53.97%,55.45%,34.46%
95.31%,89.29%,94.74%,50.00%,75.84%,93.60%,81.82%,83.26%,89.09%,68.24%
