bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
73.33%,79.07%,94.12%,100.00%,77.50%,90.71%,89.23%,94.32%
88.89%,93.02%,94.12%,100.00%,85.00%,98.91%,96.15%,98.30%
