truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
68.00%,37.04%,30.00%,33.33%,64.52%,55.81%,31.82%,41.30%
94.00%,81.48%,80.00%,88.89%,83.87%,76.74%,77.27%,65.22%
