deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
54.90%,39.74%,100.00%,31.82%,30.00%,33.68%,45.33%,43.69%,32.07%,52.46%
80.39%,78.21%,100.00%,84.09%,50.00%,77.89%,78.50%,66.02%,74.48%,80.33%
