plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
71.09%,67.86%,73.68%,50.00%,40.45%,73.60%,58.18%,57.74%,53.64%,38.18%
93.75%,87.50%,94.74%,100.00%,76.97%,94.40%,76.36%,82.43%,84.55%,65.54%
