bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
80.00%,79.07%,94.12%,100.00%,75.00%,89.62%,86.92%,94.89%
91.11%,93.02%,100.00%,100.00%,82.50%,98.91%,95.38%,98.30%
