horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
18.33%,30.48%,21.43%,44.44%,41.94%,34.78%,16.31%,36.89%,25.68%
30.00%,46.67%,42.86%,72.22%,68.82%,51.09%,37.17%,51.94%,47.30%
