car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
52.70%,36.89%,41.30%,15.38%,51.74%,53.04%,34.90%,37.44%
84.23%,66.99%,76.09%,89.74%,86.10%,85.22%,78.82%,73.93%
