ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
59.75%,53.21%,71.43%,100.00%,45.57%,31.43%,20.00%,39.44%,22.46%,42.72%,47.14%
89.31%,92.66%,100.00%,100.00%,87.34%,80.95%,80.00%,88.73%,82.89%,89.32%,93.57%
