cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
75.00%,42.86%,63.64%,47.83%,64.23%,67.88%,71.33%,66.14%,61.29%
88.89%,85.71%,100.00%,78.26%,83.74%,89.78%,85.31%,88.19%,84.95%
