deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
58.82%,41.03%,100.00%,25.00%,30.00%,31.58%,42.06%,38.83%,28.97%,50.82%
88.24%,75.64%,100.00%,72.73%,60.00%,73.68%,77.10%,64.08%,70.00%,78.69%
