car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
45.70%,51.42%,42.19%,49.68%,47.70%,49.89%,41.27%,46.08%,49.81%,44.28%,59.38%
81.27%,88.68%,81.73%,85.16%,79.71%,85.75%,78.57%,80.95%,84.98%,81.04%,84.38%
