ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
53.72%,58.62%,55.56%,50.81%,57.64%,50.62%,62.75%,55.54%
91.67%,79.31%,93.83%,89.00%,93.01%,88.82%,96.08%,91.78%
