deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
52.47%,47.06%,44.21%,50.29%,58.63%,47.64%,46.72%,55.30%,61.22%
84.71%,73.53%,85.26%,84.00%,87.87%,81.44%,84.93%,87.57%,83.67%
