dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
89.07%,91.65%,88.08%,83.53%,90.67%,90.60%,91.17%,92.03%,82.85%,84.41%,86.60%,93.55%
98.05%,98.61%,97.35%,95.88%,98.52%,98.24%,97.14%,98.73%,97.83%,95.97%,98.01%,99.64%
