horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
42.63%,42.42%,38.71%,36.27%,46.08%,40.90%,42.83%,46.23%,33.99%,63.01%
64.50%,66.67%,58.60%,55.99%,69.80%,61.73%,66.89%,68.83%,58.76%,80.14%
