bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
94.95%,92.74%,87.13%,92.05%,95.44%,95.40%,94.25%,95.56%,90.20%,91.39%,96.42%
98.65%,96.77%,94.74%,97.35%,98.65%,99.08%,98.50%,98.15%,97.64%,96.90%,99.28%
