cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
79.27%,75.45%,68.00%,76.58%,82.79%,77.08%,90.59%,78.53%,75.22%,73.83%
93.37%,94.90%,86.00%,90.99%,93.58%,94.45%,98.66%,93.42%,94.64%,89.88%
