truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
63.51%,62.07%,73.38%,62.76%,65.61%,59.11%,59.88%,66.56%,44.41%,69.21%,71.43%
87.07%,72.41%,90.65%,86.90%,87.36%,84.62%,86.63%,89.57%,78.98%,90.82%,87.50%
