frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
94.84%,97.22%,93.50%,94.12%,95.45%,95.27%,94.61%,90.85%,94.16%,95.40%,93.42%,95.21%,96.64%
98.17%,99.44%,96.59%,94.12%,100.00%,97.64%,98.10%,96.48%,98.18%,98.33%,98.03%,98.87%,98.21%
