plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
64.29%,70.64%,66.02%,63.93%,66.28%,65.33%,80.61%,56.27%,71.72%
89.19%,92.66%,89.19%,89.84%,89.63%,89.95%,97.91%,85.93%,93.06%
